,date,sum_balance_harmony
471,2023-06-19,2871399444134.0
472,2023-06-20,2651927656547.0
473,2023-06-21,2061211898968.0
474,2023-06-24,878429066994.0
475,2023-06-25,2365753546501.0
476,2023-06-26,1817202945727.0
477,2023-06-27,957618884047.0
478,2023-06-28,3407288643141.0
479,2023-07-01,2397260036891.0
480,2023-07-02,1657135172356.0
481,2023-07-03,1854797946370.0
482,2023-07-04,1837553931294.0
483,2023-07-05,2768465647275.0
484,2023-07-08,2099116668998.0
485,2023-07-09,2371559028539.0
486,2023-07-10,2174091316722.0
487,2023-07-11,1744083085086.0
488,2023-07-12,1905268174308.0
489,2023-07-15,2244607896858.0
490,2023-07-16,2614518990949.0
491,2023-07-17,1709435273181.0
492,2023-07-18,1622014003745.0
493,2023-07-19,2011274353703.0
494,2023-07-22,1511336759813.0
495,2023-07-23,2411875748357.0
496,2023-07-24,2959962752236.0
497,2023-07-25,1807385804560.0
498,2023-07-26,1715093513165.0
499,2023-07-29,961957138593.0
500,2023-07-30,2599234608390.0
501,2023-07-31,1293047140191.0
502,2023-08-01,1483241157722.0
503,2023-08-05,4267874404028.0
504,2023-08-06,1697261654037.0
505,2023-08-07,2527893564708.0
506,2023-08-08,2431784360681.0
507,2023-08-09,1689326908268.0
508,2023-08-12,1316875999194.0
509,2023-08-13,1863932415326.0
510,2023-08-14,1663264259151.0
511,2023-08-15,1974042910045.0
512,2023-08-16,2011240828547.0
513,2023-08-19,1052840425845.0
514,2023-08-20,1857922866911.0
515,2023-08-21,2160315133444.0
