,date,sum_deposit
443,2021-06-06,126210768397.0
444,2021-06-07,702497246670.0
445,2021-06-08,740890711965.0
446,2021-06-09,577202909205.0
447,2021-06-10,105360771523.0
448,2021-06-11,118259679592.0
449,2021-06-12,664949519761.0
450,2021-06-13,737726712822.0
451,2021-06-14,979406201636.0
452,2021-06-15,615763279867.0
453,2021-06-16,1308577874739.0
454,2021-06-17,113380318649.0
455,2021-06-18,103792071076.0
456,2021-06-19,847549463671.0
457,2021-06-20,723743679791.0
458,2021-06-21,775734291778.0
459,2021-06-22,1554690677151.0
460,2021-06-23,1153998277608.0
461,2021-06-24,254778746144.0
462,2021-06-25,283562097574.0
463,2021-06-26,1558709982076.0
464,2021-06-27,1267559064263.0
465,2021-06-28,1326125584105.0
466,2021-06-29,1181983113795.0
467,2021-06-30,875253624570.0
468,2021-07-01,197425704892.0
469,2021-07-02,217812714695.0
470,2021-07-03,1136237921441.0
471,2021-07-04,827602587861.0
472,2021-07-05,820332254254.0
473,2021-07-06,1043681168208.0
474,2021-07-07,828435349516.0
475,2021-07-08,119396338938.0
476,2021-07-09,187470154481.0
477,2021-07-10,1088542034173.0
478,2021-07-11,1008904686314.0
479,2021-07-12,1385718928657.0
480,2021-07-13,1247038641475.0
481,2021-07-14,1101722530343.0
482,2021-07-15,141687382880.0
483,2021-07-16,222036276687.0
484,2021-07-17,1191087527627.0
485,2021-07-18,1383757900427.0
486,2021-07-19,901045419350.0
487,2021-07-20,114411756380.0
488,2021-07-21,87294553444.0
489,2021-07-22,72017859285.0
490,2021-07-23,86630212573.0
491,2021-07-24,180382774248.0
492,2021-07-25,319357784636.0
493,2021-07-26,1599553250644.0
494,2021-07-27,1103517089716.0
495,2021-07-28,912741512977.0
496,2021-07-29,131986031011.0
497,2021-07-30,215521633615.0
498,2021-07-31,1565041320322.0
499,2021-08-01,1102718207879.0
500,2021-08-02,939004548097.0
501,2021-08-03,942489399021.0
502,2021-08-04,1387926814310.0
503,2021-08-05,150045260054.0
504,2021-08-06,237537992188.0
505,2021-08-07,1431783343507.0
506,2021-08-08,1760344649201.0
507,2021-08-09,2903227599878.0
508,2021-08-10,2113616191718.0
509,2021-08-11,1526656799391.0
510,2021-08-12,176717940068.0
511,2021-08-13,298661976707.0
512,2021-08-14,2248839250849.0
513,2021-08-15,1264341671050.0
514,2021-08-16,114046914496.0
515,2021-08-17,105134704878.0
516,2021-08-18,100379655520.0
